app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,summit gpfs,strong-scaling,1024,2638910.3111187,6.0,25165824.0,4657788604.106681,6499999.99957254,10852015523.932917,148987564.06738865,16312259.451994479,2017878901.3255308,0.8028614199218744,0.026177000000000783,3.2381789999999984,0.020152173828125026,0.009153999999999662,2.264909000000001,0.1810361570711446,0.005900334719410981,0.7302233305323501
haccio,summit gpfs,weak-scaling,64,2975142.5936777177,7.0,25165824.0,5440981937.209231,4333333.333329,10810061855.671665,771365485.3313949,195383244.38006547,2113916275.1560175,0.10555056249999999,0.028522000000000033,0.3085889999999999,0.046025578125,0.011557999999999971,0.20901599999999992,0.26076216276675207,0.07088215454367709,0.7600002096571613
haccio,summit gpfs,weak-scaling,128,2994768.964687621,5.0,25165824.0,5652165881.883399,3499999.9999964996,10591676767.675083,562761585.3717855,205628380.63666815,2104471902.2687674,0.14158205468750004,0.02864999999999991,0.2932139999999999,0.029104507812500006,0.011184999999999917,0.10543099999999989,0.35759296703706395,0.07232677232983595,0.7422409342288941
haccio,summit gpfs,weak-scaling,256,3004679.5760171306,5.0,25165824.0,5606908301.163987,6499999.999993499,11155063829.789253,468292702.5283358,143694636.69469383,2273324786.9693,0.19200566406249997,0.0265220000000001,0.4195920000000002,0.0321405,0.010195000000000037,0.11530199999999996,0.3545673116737711,0.04900844583230555,0.7728643661625336
haccio,summit gpfs,weak-scaling,512,3009659.520815053,6.0,25165824.0,5706720886.385573,2600000.000002211,10810061855.680944,311258295.4737136,84933883.47093815,1972232507.9323711,0.3280866308593748,0.030570999999999737,0.7098830000000002,0.01919656249999999,0.010925000000000185,0.09440399999999971,0.33162167390672775,0.030893435144636754,0.7166236261681524
haccio,summit gpfs,weak-scaling,1024,3012155.688295848,5.0,25165824.0,5591838220.869909,6999999.999021554,11037642105.268244,161202768.1031245,41233733.72688794,1913702786.7708728,0.7709223564453117,0.03150599999999837,1.4622280000000023,0.018471856445312487,0.010452999999999601,0.8197519999999996,0.30426380144651927,0.012429711252124068,0.5768681155032612
haccio,summit node-local bb,strong-scaling,64,4449778.387047032,6.0,25165824.0,3359423637.756533,2333333.3333309996,9754195348.837528,2980441698.809389,2297751006.471998,5226471311.000355,0.031912562500000005,0.017253999999999978,0.03924599999999998,0.029115390624999998,0.016444,0.034675000000000025,0.23975881355848058,0.12924727367155825,0.2983813202052633
haccio,summit node-local bb,strong-scaling,128,3489556.8645712067,6.0,25165824.0,3693757921.9855514,2785714.2857142612,9709037037.037308,3050126396.7791233,2331019343.7074842,5303434136.030802,0.024266593750000003,0.013246999999999995,0.030139000000000055,0.02119574999999999,0.012500000000000025,0.026004999999999986,0.18756932900982828,0.10236384496101208,0.23529965451892318
haccio,summit node-local bb,strong-scaling,256,3004679.576406463,6.0,25165824.0,3896083719.8767776,4999999.999995,9118052173.912727,3022798805.4436207,2258676856.222375,5184720956.230083,0.02101669921875,0.01162900000000007,0.026693999999999968,0.018289230468750004,0.010849000000000053,0.022679999999999992,0.1431248149262181,0.0785945810501828,0.18441152992328497
haccio,summit node-local bb,strong-scaling,512,2761035.476162621,6.0,25165824.0,3996234664.2201595,4333333.333315636,8738133333.33268,3041104996.884438,2267551510.6793036,5439313993.509487,0.019228992187500033,0.010169000000000372,0.024392999999999887,0.01657877734375,0.009396999999999933,0.020405999999999813,0.03694474190028251,0.01946593013202548,0.046985533719645214
