app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
paradis,summit gpfs,weak-scaling,128,17.461192176342752,3.0,61.0,3484958.103032178,45627.37642641179,57999999.94037853,23277.806470710348,13940.19291773803,65849.76025551461,0.07484614843750846,0.06048099999983414,0.10323500000033331,0.0013257187500000773,0.00079200000000057,0.0032490000000009456,0.002023586052330274,0.0016352308083692718,0.0027909843401712764
paradis,summit gpfs,weak-scaling,256,14.510808776080877,3.0,61.0,4009009.1211703154,76923.07692283575,60999999.93729466,42256.2238286203,6737.089694860671,186434.73570652294,0.05090443750000176,0.036812999999795926,0.238084999999866,0.0011605273437505456,0.0006040000000009371,0.006742000000000581,0.0023093278348144436,0.0016700466349051791,0.010799896316753372
paradis,summit gpfs,weak-scaling,512,10.232393244104525,3.0,61.0,4668511.118001476,126315.7894737424,41000000.03068442,40688.06968193009,5587.683419848623,162857.04558627657,0.03902083007812579,0.022212000000102705,0.1823839999999639,0.0006215937499998256,0.00016700000000469117,0.009911000000004,0.002222507567740939,0.0012651086044039369,0.01038650423090467
paradis,summit gpfs,weak-scaling,1024,9.445660151684018,3.0,61.0,4754786.723210546,106194.69026650213,41000000.03068442,55805.32707868168,4268.810999635016,298813.7223480458,0.02677858984375191,0.012475999999952414,0.19794999999997742,0.0004899736328124373,0.00011399999999817112,0.0037709999999941957,0.0026531741202948777,0.0012359867802999417,0.019608029901906188
paradis,summit node-local bb,weak-scaling,64,24.204258043861053,3.0,61.0,2269865.108855522,80000.00000113384,58000000.146435924,21341.227058503613,14223.831383081677,37695.20732337259,0.11052318749995468,0.09589200000087829,0.12256200000087036,0.0021664062499999227,0.0013240000000036556,0.002960999999974713,0.001679261153832622,0.0014569439854749777,0.0018621594823706906
paradis,summit node-local bb,weak-scaling,128,17.562631702177477,3.0,61.0,3477061.0396914454,52631.57894739267,41000000.10351505,31363.177374261933,19331.71632328826,110011.43132085202,0.05570621093748834,0.045277000000029835,0.07143700000042963,0.0012832890625002087,0.0007239999999923974,0.0034499999999958453,0.0015127945870265413,0.001229505873369246,0.0019400148566000284
paradis,summit node-local bb,weak-scaling,256,14.495620064149215,3.0,61.0,4021834.835185541,93749.99999990624,42000000.03143282,73119.9796246549,39905.903693179,322495.9705279509,0.028565875000012505,0.020229000000190123,0.04342999999991036,0.0011853085937492546,0.0005460000000048204,0.006368000000004925,0.0013331660290098718,0.0009441272604587088,0.0020267606157827744
paradis,summit node-local bb,weak-scaling,512,10.242283991431066,3.0,61.0,4720821.657933203,96385.54216912625,40999999.95785379,103048.83611724187,50758.200621601594,834488.0144108521,0.014416289062503109,0.00843799999999284,0.028867999999985045,0.000586132812500037,0.00016999999999933735,0.009158000000004662,0.001078779680275698,0.000631385176647084,0.002160024053886073
paradis,summit node-local bb,weak-scaling,1024,9.44983497901585,3.0,61.0,4755354.631912415,101265.822785456,41000000.03068442,178151.93811089356,64532.916991498314,1047861.0758091125,0.007541616210938842,0.003965000000005325,0.016527000000098102,0.0004907626953127603,0.00011300000000202814,0.0038339999999932317,0.0007510569190469749,0.0003948851178953699,0.0016457814698136789
paradis,cori lustre,weak-scaling,64,30.543795921736976,1.0,61.0,24455446.71054115,9111.617312072925,41999999.95682583,37644.39417579986,14996.35591022493,58670.49062764239,0.1605983281250376,0.12108599999985703,0.32381199999988297,0.0002347656249998657,0.00012699999999354894,0.0006409999999935617,0.0058575731415487055,0.004416440189094429,0.011810525097673056
paradis,cori lustre,weak-scaling,128,31.174037940379403,1.0,61.0,25008988.4289552,22988.505747126364,42000000.03143282,56182.391252473804,18734.649582078513,89872.56874595945,0.08414710156251327,0.06100399999991857,0.2626150000001308,0.0001731484374994906,0.00011299999999814236,0.00043499999999583455,0.005303749145491137,0.0038451233236473166,0.016552784160604735
paradis,cori lustre,weak-scaling,256,31.655047964253352,1.0,61.0,26103494.025832158,29411.764705876947,60999999.93729466,57572.84228492859,20381.7903528035,106403.25439851802,0.1440356445312546,0.08780700000023428,0.6755540000001072,0.0002770937500000221,0.0001839999999861952,0.0006770000000011489,0.012318122556557148,0.007509654231378988,0.05756919808152541
paradis,cori lustre,weak-scaling,512,31.739289647095838,1.0,61.0,26676801.875283252,31250.00000000263,61000000.04565243,176080.49641539928,49358.508426408254,349210.58958674234,0.04333914062499963,0.024359000000012787,0.20672800000007002,0.0002341054687496178,0.0001549999999943541,0.001099000000000322,0.0050604069965560616,0.0028441926426857633,0.02410488513393569
paradis,cori lustre,weak-scaling,1024,31.82511679474593,1.0,61.0,26886438.088127714,33057.85123967427,42000000.03143282,144800.44731557518,45159.22342538555,446965.6427275456,0.051501469726565975,0.032195000000151575,0.24116000000000493,0.00023449511718750708,0.00014100000000000223,0.002721999999998115,0.008814743628404806,0.005541964476785119,0.041311121676175684
