App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
5   0.000013   0.951408      0.048579         1.0
6   0.000012   0.954140      0.045848         1.0
7   0.000013   0.958433      0.041554         1.0
8   0.000076   0.953922      0.046002         1.0
9   0.000056   0.953684      0.046260         1.0
10  0.000049   0.955150      0.044801         1.0
11  0.000053   0.953374      0.046573         1.0
12  0.000066   0.955096      0.044838         1.0
13  0.000066   0.951502      0.048432         1.0
14  0.000063   0.958567      0.041371         1.0
15  0.000059   0.951560      0.048381         1.0
16  0.000069   0.954935      0.044997         1.0
17  0.000060   0.952757      0.047182         1.0
18  0.000051   0.952594      0.047355         1.0
19  0.000059   0.951687      0.048254         1.0
20  0.000067   0.957313      0.042620         1.0
21  0.000062   0.953680      0.046258         1.0
22  0.000065   0.955843      0.044092         1.0
23  0.000064   0.960630      0.039306         1.0
24  0.000077   0.853011      0.146912         1.0
25  0.000067   0.856850      0.143082         1.0
26  0.000060   0.858553      0.141388         1.0
27  0.000063   0.859189      0.140748         1.0
28  0.000077   0.857987      0.141936         1.0
29  0.000078   0.858295      0.141627         1.0
30  0.000072   0.858697      0.141231         1.0
31  0.000070   0.859748      0.140182         1.0
32  0.000075   0.850282      0.149643         1.0
33  0.000051   0.854564      0.145384         1.0
34  0.000060   0.856365      0.143575         1.0
35  0.000062   0.857408      0.142530         1.0
36  0.000084   0.855964      0.143952         1.0
37  0.000070   0.856058      0.143872         1.0
38  0.000076   0.855861      0.144062         1.0
39  0.000070   0.857064      0.142866         1.0
40  0.000080   0.949434      0.050486         1.0
41  0.000060   0.949326      0.050614         1.0
42  0.000065   0.961181      0.038754         1.0
43  0.000060   0.953191      0.046749         1.0
44  0.000075   0.958737      0.041188         1.0
45  0.000075   0.951356      0.048569         1.0
46  0.000074   0.950418      0.049508         1.0
47  0.000068   0.951923      0.048009         1.0
48  0.000078   0.954580      0.045342         1.0
49  0.000058   0.955273      0.044670         1.0
50  0.000055   0.956131      0.043815         1.0
51  0.000063   0.955945      0.043992         1.0
52  0.000075   0.959158      0.040766         1.0
53  0.000074   0.953994      0.045932         1.0
54  0.000075   0.954551      0.045374         1.0
55  0.000073   0.954087      0.045841         1.0
56  0.000084   0.957452      0.042464         1.0
57  0.000066   0.955263      0.044671         1.0
58  0.000066   0.953835      0.046099         1.0
59  0.000063   0.959483      0.040454         1.0
60  0.000082   0.957232      0.042686         1.0
61  0.000073   0.954319      0.045608         1.0
62  0.000072   0.957140      0.042788         1.0
63  0.000073   0.955926      0.044001         1.0
Mean I/O Intensity over ranks: 
io_time         0.000463
comm_time       0.916476
compute_time    0.083062
total_time      1.000000
==================================


App: LAMMPS-20Mar3-LJ_2D_HDF5
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.578464   0.138856      0.282680         1.0
1   0.000020   0.912194      0.087786         1.0
2   0.000022   0.917730      0.082248         1.0
3   0.000021   0.918238      0.081742         1.0
4   0.000021   0.922541      0.077438         1.0
5   0.000022   0.917610      0.082368         1.0
6   0.000022   0.925941      0.074036         1.0
7   0.000024   0.925609      0.074367         1.0
8   0.000104   0.906381      0.093515         1.0
9   0.000087   0.920738      0.079175         1.0
10  0.000106   0.922705      0.077189         1.0
11  0.000129   0.922634      0.077237         1.0
12  0.000169   0.908853      0.090978         1.0
13  0.000108   0.920814      0.079078         1.0
14  0.000126   0.912300      0.087574         1.0
15  0.000110   0.916572      0.083318         1.0
16  0.000104   0.936112      0.063785         1.0
17  0.000087   0.920192      0.079721         1.0
18  0.000095   0.918222      0.081684         1.0
19  0.000090   0.918429      0.081481         1.0
20  0.000123   0.929007      0.070870         1.0
21  0.000108   0.924436      0.075456         1.0
22  0.000114   0.923954      0.075932         1.0
23  0.000117   0.925487      0.074396         1.0
24  0.000112   0.654184      0.345703         1.0
25  0.000092   0.657915      0.341994         1.0
26  0.000105   0.662707      0.337188         1.0
27  0.000127   0.662409      0.337464         1.0
28  0.000128   0.659716      0.340156         1.0
29  0.000132   0.660087      0.339780         1.0
30  0.000109   0.660295      0.339595         1.0
31  0.000147   0.662590      0.337263         1.0
32  0.000122   0.929123      0.070755         1.0
33  0.000088   0.934159      0.065753         1.0
34  0.000085   0.925073      0.074841         1.0
35  0.000124   0.922732      0.077145         1.0
36  0.000115   0.913469      0.086417         1.0
37  0.000145   0.908955      0.090900         1.0
38  0.000140   0.916801      0.083058         1.0
39  0.000117   0.917286      0.082597         1.0
40  0.000122   0.917464      0.082414         1.0
41  0.000092   0.911311      0.088597         1.0
42  0.000107   0.915192      0.084701         1.0
43  0.000104   0.916093      0.083804         1.0
44  0.000134   0.923715      0.076152         1.0
45  0.000107   0.922746      0.077147         1.0
46  0.000117   0.922093      0.077790         1.0
47  0.000109   0.922902      0.076989         1.0
48  0.000112   0.921858      0.078029         1.0
49  0.000110   0.915723      0.084167         1.0
50  0.000092   0.917286      0.082622         1.0
51  0.000086   0.921485      0.078429         1.0
52  0.000113   0.916068      0.083819         1.0
53  0.000111   0.929615      0.070275         1.0
54  0.000136   0.916126      0.083738         1.0
55  0.000118   0.935940      0.063942         1.0
56  0.000098   0.914588      0.085314         1.0
57  0.000098   0.912843      0.087058         1.0
58  0.000113   0.915788      0.084099         1.0
59  0.000097   0.912618      0.087285         1.0
60  0.000118   0.916671      0.083211         1.0
61  0.000120   0.917128      0.082752         1.0
62  0.000119   0.918887      0.080994         1.0
63  0.000120   0.915936      0.083944         1.0
Mean I/O Intensity over ranks: 
io_time         0.009140
comm_time       0.875049
compute_time    0.115811
total_time      1.000000
==================================


App: LAMMPS-20Mar3-LJ_2D_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.075794   0.036558      0.887648         1.0
1   0.000028   0.675603      0.324369         1.0
2   0.000030   0.676275      0.323695         1.0
3   0.000026   0.676102      0.323872         1.0
4   0.000024   0.677434      0.322541         1.0
5   0.000022   0.680876      0.319102         1.0
6   0.000020   0.679293      0.320687         1.0
7   0.000020   0.684517      0.315463         1.0
8   0.000101   0.870186      0.129712         1.0
9   0.000088   0.865975      0.133937         1.0
10  0.000088   0.869803      0.130109         1.0
11  0.000087   0.860860      0.139053         1.0
12  0.000109   0.863751      0.136140         1.0
13  0.000109   0.867201      0.132690         1.0
14  0.000113   0.865157      0.134731         1.0
15  0.000108   0.862705      0.137187         1.0
16  0.000120   0.865285      0.134595         1.0
17  0.000091   0.865336      0.134573         1.0
18  0.000106   0.867452      0.132443         1.0
