app,transfer_size,io_subsystem,scaling,num_proc,io_bandwidth,io_time,transfer_time
ior-t4m,4m,lassen node-local bb,weak-scaling,1024,4026471428.3048425,0.011767552734375,0.0092797060546875
ior-t4m,4m,summit gpfs,weak-scaling,64,5992237168.237306,0.1102497031249999,0.013086
ior-t4m,4m,summit gpfs,weak-scaling,128,7400503305.910992,0.1219236484374999,0.0139261562499999
ior-t4m,4m,summit gpfs,weak-scaling,256,7048484862.295345,0.163753953125,0.01385664453125
ior-t4m,4m,summit gpfs,weak-scaling,512,7032298372.271271,0.3299787109375,0.008286984375
ior-t4m,4m,summit gpfs,weak-scaling,1024,6918745321.223892,0.5771271074218749,0.0077650341796875
ior-t4m,4m,summit node-local bb,weak-scaling,64,5742858502.416672,0.011258421875,0.0070371562499999
ior-t4m,4m,summit node-local bb,weak-scaling,128,5595827532.291687,0.0113392343749999,0.007150828125
ior-t4m,4m,summit node-local bb,weak-scaling,256,5511132413.793644,0.0111924375,0.0072184687499999
ior-t4m,4m,summit node-local bb,weak-scaling,512,5518501783.116634,0.0112760390625,0.007190541015625
ior-t4m,4m,summit node-local bb,weak-scaling,1024,5572864029.761246,0.011080705078125,0.0071105234375
